2024-03-19 16:16:18 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 56540, 'X-Content-Type-Options': 'nosniff'} /img/rec.jpg
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 90623, 'X-Content-Type-Options': 'nosniff'} /img/anderson.jpg
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 245213, 'X-Content-Type-Options': 'nosniff'} /img/folwel.jpg
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 37561, 'X-Content-Type-Options': 'nosniff'} /img/zoom.jpg
2024-03-19 16:16:18 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 1549, 'X-Content-Type-Options': 'nosniff'} /js/thumbnail.js
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/png', 'Content-Length': 82836, 'X-Content-Type-Options': 'nosniff'} /img/gophers-mascot.png
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/png', 'Content-Length': 10892, 'X-Content-Type-Options': 'nosniff'} /img/search.png
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/png', 'Content-Length': 25240, 'X-Content-Type-Options': 'nosniff'} /img/direction.png
2024-03-19 16:16:19 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 7351, 'X-Content-Type-Options': 'nosniff'} /js/map.js
2024-03-19 16:16:20 - 200 - {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'} /img/Goldy.png
2024-03-19 16:16:29 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2195, 'X-Content-Type-Options': 'nosniff'} /MyServer.html
2024-03-19 16:16:29 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:16:30 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1359, 'X-Content-Type-Options': 'nosniff'} /files
2024-03-19 16:16:30 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:16:33 - 200 - {'Content-Type': 'text/html', 'Content-Length': 9763, 'X-Content-Type-Options': 'nosniff'} /MySchedule.html
2024-03-19 16:16:33 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:16:33 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 56540, 'X-Content-Type-Options': 'nosniff'} /img/rec.jpg
